source,url,name,price_raw,price_vnd,is_gaming,is_wireless,has_mic,connection,battery_life_hours,weight_gram,battery_applicable,type_was_missing,connection_was_missing,battery_life_hours_was_missing,weight_gram_was_missing,price_vnd_capped,price_vnd_original,price_per_gram,price_per_battery_hour,brand_grouped_Apple,brand_grouped_Asus,brand_grouped_Baseus,brand_grouped_Edifier,brand_grouped_Havit,brand_grouped_Huawei,brand_grouped_Hãng Khác,brand_grouped_Jbl,brand_grouped_Logitech,brand_grouped_Other,brand_grouped_Razer,brand_grouped_Sennheiser,brand_grouped_Sony,brand_grouped_Soundpeats,brand_grouped_Xiaomi,type_over-ear,connection_grouped_3.5mm+Bluetooth,connection_grouped_3.5mm+USB-A,connection_grouped_Bluetooth,connection_grouped_Other,connection_grouped_Type C,connection_grouped_Type C+Bluetooth,connection_grouped_USB-A,connection_grouped_USB-A+Bluetooth
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-sony-wh-ult900n.html,Tai nghe chụp tai Sony WH-ULT900N,4.490.000đ,4490000,0,0,0,3.5mm,,255.0,0,0,0,0,0,4490000,4490000,17607.843137254902,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-anker-soundcore-space-one.html,Tai nghe Bluetooth chụp tai Anker Soundcore Space One,2.150.000đ,2150000,0,1,0,Bluetooth,40.0,260.0,1,0,0,0,0,2150000,2150000,8269.23076923077,53750.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-beats-solo-4.html,Tai nghe Bluetooth chụp tai Beats Solo 4,4.990.000đ,4990000,0,1,0,3.5mm+Bluetooth,4.0,26.3,1,0,0,0,1,4990000,4990000,189733.8403041825,1247500.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-gaming-havit-h2040d.html,Tai nghe chụp tai có dây Gaming Havit H2040D,400.000đ,400000,1,0,0,3.5mm,,207.0,0,0,1,1,0,400000,400000,1932.3671497584544,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-gaming-hyperx-cloud-stinger-ii-core.html,Tai nghe chụp tai Gaming Hyperx Cloud Stinger 2 Core,870.000đ,870000,1,0,0,3.5mm,,290.0,0,0,0,1,0,870000,870000,3000.0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-havit-h630bt.html,Tai nghe Bluetooth chụp tai Havit H630BT,470.000đ,470000,0,1,0,3.5mm+Bluetooth,38.35,207.0,1,0,0,0,0,470000,470000,2270.531400966184,12255.54106910039,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-bluetooth-chup-tai-havit-h670bt-anc.html,Tai nghe bluetooth chụp tai Havit H670BT ANC (Space S1),1.750.000đ,1750000,0,1,0,3.5mm+Bluetooth,67.5,258.0,1,0,0,0,0,1750000,1750000,6782.945736434109,25925.925925925927,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-bose-quietcomfort-ultra.html,Tai nghe Bluetooth chụp tai Bose QuietComfort Ultra,10.790.000đ,7900000,0,1,0,3.5mm+Bluetooth,24.0,250.0,1,0,0,0,0,7900000,10790000,31600.0,329166.6666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-sennheiser-momentum-4.html,Tai nghe Bluetooth chụp tai Sennheiser MOMENTUM 4,9.499.000đ,7900000,0,1,0,3.5mm+Bluetooth,60.0,238.0,1,0,0,0,0,7900000,9499000,33193.27731092437,131666.66666666666,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-anker-soundcore-space-h30i-a3012.html,Tai nghe chụp tai Anker Soundcore Space H30i - A3012,990.000đ,990000,0,0,0,3.5mm,,183.0,0,0,0,0,0,990000,990000,5409.836065573771,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-apple-earpods-myqy3za-a-type-c.html,Tai nghe Apple EarPods USB-C MYQY3ZA/A | Chính hãng Apple Việt Nam,540.000đ,540000,0,0,0,Type C,,26.3,0,1,0,1,1,540000,540000,20532.319391634985,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-nhet-tai-samsung-eo-ic-100-type-c.html,Tai nghe nhét tai Samsung EO-IC100 Type C,550.000đ,550000,0,0,0,Type C,,5.4,0,0,0,1,1,550000,550000,101851.85185185184,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-gaming-hyperx-cloud-earbuds-2.html,Tai nghe có dây Gaming Hyperx Cloud Earbuds 2,970.000đ,970000,1,0,0,3.5mm,,290.0,0,0,0,1,1,970000,970000,3344.8275862068967,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-co-day-xiaomi-type-c.html,Tai nghe có dây Xiaomi Type-C,169.000đ,169000,0,0,0,Type C,,13.5,0,0,0,1,0,169000,169000,12518.518518518518,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-co-day-baseus-encok-cz11.html,Tai nghe có dây Baseus Encok CZ11,110.000đ,110000,0,0,0,Type C,,14.5,0,0,0,1,0,110000,110000,7586.206896551724,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-sony-mdr-ex155ap.html,Tai nghe Sony MDR-EX155AP,390.000đ,390000,0,0,0,3.5mm,,3.0,0,0,0,1,0,390000,390000,130000.0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-jbl-tune-310c.html,Tai nghe có dây JBL Tune 310C,575.000đ,575000,0,0,0,Type C,,14.3,0,0,0,1,0,575000,575000,40209.79020979021,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-nhet-tai-devia-smart-earpods-co-mic.html,Tai nghe nhét tai Devia Smart Earpods có Mic,180.000đ,180000,0,0,1,3.5mm,,21.75,0,0,1,1,1,180000,180000,8275.862068965518,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-sony-mdr-ex15ap.html,Tai nghe Sony MDR-EX15AP,290.000đ,290000,0,0,0,3.5mm,,3.0,0,0,0,1,0,290000,290000,96666.66666666669,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-kz-zsn-pro-x.html,Tai nghe KZ ZSN Pro X,690.000đ,690000,0,0,1,3.5mm,,50.0,0,1,0,1,1,690000,690000,13800.0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-rog-cetra-ii-core.html,Tai nghe có dây Gaming ASUS ROG Cetra II Core,1.290.000đ,1290000,1,0,1,3.5mm,,297.0,0,0,0,1,1,1290000,1290000,4343.434343434344,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-gaming-co-day-hyperx-cloud-3.html,Tai nghe chụp tai Gaming Hyperx Cloud 3,2.440.000đ,2440000,1,0,0,3.5mm,,290.0,0,0,0,1,0,2440000,2440000,8413.793103448275,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-co-day-baseus-encok-hz20-jack-3-5.html,Tai nghe có dây Baseus Encok HZ20 (Jack 3.5),160.000đ,160000,0,0,0,3.5mm,,42.0,0,1,0,1,1,160000,160000,3809.5238095238096,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-co-day-jbl-quantum-50c.html,Tai nghe gaming JBL Quantum 50C,870.000đ,870000,1,0,1,3.5mm,,21.5,0,0,0,1,0,870000,870000,40465.11627906977,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-co-day-sony-ier-ex15c.html,Tai nghe có dây Sony IER-EX15C,599.000đ,599000,0,0,0,Type C,,3.0,0,0,0,1,0,599000,599000,199666.66666666663,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-co-day-robot-re101s-3-5mm.html,Tai nghe có dây cổng 3.5mm Robot RE101S,50.000đ,50000,0,0,0,3.5mm,,3.0,0,1,0,1,1,50000,50000,16666.666666666668,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-akg-k92.html,Tai nghe kiểm âm AKG K92,1.820.000đ,1820000,0,0,0,3.5mm,,200.0,0,0,0,1,0,1820000,1820000,9100.0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-kiem-am-akg-k72.html,Tai nghe kiểm âm AKG K72,1.590.000đ,1590000,0,0,0,3.5mm,,200.0,0,0,1,1,0,1590000,1590000,7950.0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-kiem-am-shure-srh1540.html,Tai nghe kiểm âm Closed-Back Shure SRH1540,5.000.000đ,5000000,0,0,0,3.5mm,,286.0,0,0,0,1,0,5000000,5000000,17482.517482517484,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-kiem-am-sony-mdr-7506.html,Tai nghe kiểm âm Closed-Back Sony MDR-7506,5.000.000đ,5000000,0,0,1,3.5mm,,260.0,0,0,0,1,0,5000000,5000000,19230.76923076923,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-kiem-am-shure-se425-cl.html,Tai nghe kiểm âm nhét tai Shure SE425-CL (Trong Suốt),5.000.000đ,5000000,0,0,0,3.5mm,,29.4,0,0,1,1,0,5000000,5000000,170068.02721088435,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-kiem-am-semi-open-akg-k240-mkii.html,Tai nghe kiểm âm Semi-Open AKG K240 MKII,5.000.000đ,5000000,0,0,1,3.5mm,,240.0,0,0,1,1,0,5000000,5000000,20833.33333333333,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-kiem-am-shure-srh840a.html,Tai nghe kiểm âm Closed-Back Shure SRH840A,5.000.000đ,5000000,0,0,0,3.5mm,,272.0,0,0,0,1,0,5000000,5000000,18382.352941176472,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-kiem-am-shure-se215-cl.html,Tai nghe kiểm âm nhét tai Shure SE215-CL (Trong Suốt),5.000.000đ,5000000,0,0,0,3.5mm,,28.35,0,0,1,1,0,5000000,5000000,176366.84303350968,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-kiem-am-shure-srh240a.html,Tai nghe kiểm âm Closed-Back Shure SRH240A,5.000.000đ,5000000,0,0,0,3.5mm,,286.0,0,0,0,1,0,5000000,5000000,17482.517482517484,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-kiem-am-sony-mdr-m1.html,Tai nghe kiểm âm Closed-Back Sony MDR-M1,5.000.000đ,5000000,0,0,0,3.5mm,,216.0,0,0,0,1,0,5000000,5000000,23148.14814814815,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-kiem-am-akg-k361.html,Tai nghe kiểm âm AKG K361,5.000.000đ,5000000,0,0,0,3.5mm,,220.0,0,0,0,1,1,5000000,5000000,22727.272727272728,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-kiem-am-shure-srh840.html,Tai nghe kiểm âm Closed-Back Shure SRH840,5.000.000đ,5000000,0,0,0,3.5mm,,268.0,0,0,0,1,1,5000000,5000000,18656.716417910447,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-kiem-am-shure-srh1840.html,Tai nghe kiểm âm Open-back Shure SRH1840,5.000.000đ,5000000,0,0,0,3.5mm,,268.0,0,0,0,1,0,5000000,5000000,18656.716417910447,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-kiem-am-akg-k240.html,Tai nghe kiểm âm AKG K240,5.000.000đ,5000000,0,0,0,3.5mm,,240.0,0,0,0,1,0,5000000,5000000,20833.33333333333,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-kiem-am-akg-k240-studio.html,Tai nghe kiểm âm Semi-Open AKG K240 Studio,5.000.000đ,5000000,0,0,0,3.5mm,,240.0,0,0,0,1,0,5000000,5000000,20833.33333333333,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-kiem-am-shure-srh440a.html,Tai nghe kiểm âm Closed-Back Shure SRH440A,5.000.000đ,5000000,0,0,0,3.5mm,,268.0,0,0,0,1,0,5000000,5000000,18656.716417910447,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-kiem-am-akg-n90q.html,Tai nghe kiểm âm AKG N90Q,5.000.000đ,5000000,0,0,0,3.5mm,,220.0,0,1,1,1,1,5000000,5000000,22727.272727272728,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-the-thao-jbl-sence-lite.html,Tai nghe Bluetooth thể thao JBL Sense Lite,2.590.000đ,2590000,0,1,0,Bluetooth,8.0,19.0,1,0,0,0,0,2590000,2590000,136315.7894736842,323750.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-khong-day-xiaomi-openwear-stereo.html,Tai nghe thể thao Xiaomi Openwear Stereo,2.990.000đ,2990000,0,0,0,Type C,,9.6,0,0,1,0,0,2990000,2990000,311458.3333333334,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-khong-day-soundpeats-pop-clip.html,Tai nghe không dây thể thao SoundPEATS Pop Clip,950.000đ,950000,0,1,0,Bluetooth,25.0,6.1,1,0,0,1,1,950000,950000,155737.7049180328,38000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-khong-day-huawei-freearc.html,Tai nghe Bluetooth True Wireless Huawei FreeArc,2.490.000đ,2490000,0,1,0,Bluetooth,7.0,8.9,1,0,0,0,0,2490000,2490000,279775.2808988764,355714.28571428574,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-truyen-dan-xuong-shokz-openrun-pro.html,Tai nghe truyền dẫn xương Shokz Openrun Pro,4.895.000đ,4895000,0,0,0,3.5mm,,29.0,0,0,1,0,0,4895000,4895000,168793.10344827586,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-khong-day-huawei-freeclip.html,Tai nghe Bluetooth True Wireless HUAWEI FreeClip,4.990.000đ,4990000,0,1,0,Bluetooth,8.0,5.6,1,0,0,0,0,4990000,4990000,891071.4285714286,623750.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-khong-day-huawei-freeclip-2.html,Tai nghe không dây HUAWEI FreeClip 2,4.490.000đ,4490000,0,1,0,Type C+Bluetooth,2.0,5.1,1,0,0,0,0,4490000,4490000,880392.1568627452,2245000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cellphones,https://cellphones.com.vn/tai-nghe-the-thao-bose-ultra-open-earbuds.html,Tai nghe thể thao Bose Ultra Open Earbuds,7.749.000đ,7749000,0,0,0,3.5mm,,6.35,0,0,1,0,0,7749000,7749000,1220314.9606299214,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-khong-day-soundpeats-pearclip-pro.html,Tai nghe Bluetooth thể thao SoundPEATS Pearlclip Pro,1.390.000đ,1390000,0,1,0,Bluetooth,6.0,6.1,1,0,0,0,0,1390000,1390000,227868.8524590164,231666.66666666663,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-khong-day-baseus-eli-fit.html,Tai nghe Bluetooth thể thao Baseus ELI FIT Open-Ear,980.000đ,980000,0,1,0,USB-A+Bluetooth,7.0,9.9,1,0,0,0,0,980000,980000,98989.89898989898,140000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cellphones,https://cellphones.com.vn/tai-nghe-khong-day-soundpeats-runfree-lite-2.html,Tai nghe Bluetooth thể thao SoundPEATS RunFree Lite 2,890.000đ,890000,0,1,0,Bluetooth,2.0,6.1,1,0,0,0,1,890000,890000,145901.6393442623,445000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-truyen-dan-xuong-shokz-openrun.html,Tai nghe Bluetooth truyền dẫn xương Shokz Openrun,3.490.000đ,3490000,0,1,0,Bluetooth,8.0,26.0,1,0,0,0,0,3490000,3490000,134230.76923076922,436250.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-khong-day-anker-soundcore-v20i-a3876.html,Tai nghe Bluetooth True Wireless Anker Soundcore V20i - A3876,1.070.000đ,1070000,0,1,0,Bluetooth,58.4,12.23,1,0,0,0,1,1070000,1070000,87489.77923139819,18321.91780821918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-truyen-dan-xuong-shokz-openfit-air.html,Tai nghe bluetooth Shokz Openfit Air,3.230.000đ,3230000,0,1,0,Bluetooth,6.0,8.7,1,0,0,0,0,3230000,3230000,371264.367816092,538333.3333333334,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-the-thao-havit-ows929.html,Tai nghe Bluetooth thể thao Havit OWS929,370.000đ,370000,0,1,0,Bluetooth,5.0,8.95,1,0,0,0,0,370000,370000,41340.78212290503,74000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-the-thao-anker-soundcore-v40i.html,Tai nghe Bluetooth thể thao Anker Soundcore V40i (A3878),1.500.000đ,1500000,0,1,0,Bluetooth,6.0,12.23,1,0,0,0,1,1500000,1500000,122649.22322158626,250000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-khong-day-the-thao-baseus-eli-2i-fit.html,Tai nghe Bluetooth thể thao Baseus Eli 2i Fit,690.000đ,690000,0,1,0,Bluetooth,11.0,8.8,1,0,0,0,0,690000,690000,78409.0909090909,62727.27272727273,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-khong-day-the-thao-baseus-eli-sport-2-open-ear.html,Tai nghe Bluetooth thể thao Baseus Eli Sport 2 Open-Ear,1.190.000đ,1190000,0,1,0,Bluetooth,7.0,42.0,1,0,0,0,0,1190000,1190000,28333.33333333333,170000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-bluetooth-jbl-endurance-pace.html,Tai nghe Bluetooth JBL Endurance Pace,1.990.000đ,1990000,0,1,0,Bluetooth,10.0,33.15,1,0,0,0,0,1990000,1990000,60030.16591251886,199000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-khong-day-shokz-opendots-one.html,Tai nghe Bluetooth thể thao Shokz OpenDots ONE,4.990.000đ,4990000,0,1,0,Bluetooth,10.0,6.51,1,0,0,0,0,4990000,4990000,766513.0568356375,499000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-truyen-dan-xuong-shokz-openrun-pro-2.html,Tai nghe Bluetooth thể thao Shokz OpenRun Pro 2,4.895.000đ,4895000,0,1,0,Bluetooth,12.0,30.3,1,0,0,0,0,4895000,4895000,161551.15511551156,407916.6666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
